T1,T2,T3,T4,T5
3.084119498793037906e+02,3.084119498793037906e+02,3.084119498793037906e+02,3.084119498793037906e+02,3.158150727151999035e+02
3.101779973811721334e+02,3.101779973811721334e+02,3.101779973811721334e+02,3.101779973811721334e+02,3.176841022142446036e+02
3.117379575119614969e+02,3.117379575119614969e+02,3.117379575119614969e+02,3.117379575119614969e+02,3.193264905669454947e+02
3.131428264721528194e+02,3.131428264721528194e+02,3.131428264721528194e+02,3.131428264721528194e+02,3.208159015227661257e+02
3.143258926721207445e+02,3.143258926721207445e+02,3.143258926721207445e+02,3.143258926721207445e+02,3.219717600593810971e+02
3.153897428294948213e+02,3.153897428294948213e+02,3.153897428294948213e+02,3.153897428294948213e+02,3.230614581701887573e+02
3.162748775204064486e+02,3.162748775204064486e+02,3.162748775204064486e+02,3.162748775204064486e+02,3.239702619138033128e+02
3.170869904766088325e+02,3.170869904766088325e+02,3.170869904766088325e+02,3.170869904766088325e+02,3.249523904245659764e+02
3.177922067334270650e+02,3.177922067334270650e+02,3.177922067334270650e+02,3.177922067334270650e+02,3.256694286566045662e+02
3.183842811835903035e+02,3.183842811835903035e+02,3.183842811835903035e+02,3.183842811835903035e+02,3.262502356551108278e+02
3.189633065685051179e+02,3.189633065685051179e+02,3.189633065685051179e+02,3.189633065685051179e+02,3.269890161459497904e+02
3.193441667552399394e+02,3.193441667552399394e+02,3.193441667552399394e+02,3.193441667552399394e+02,3.273359385997555364e+02
3.198902960393433546e+02,3.198902960393433546e+02,3.198902960393433546e+02,3.198902960393433546e+02,3.278977552013232639e+02
3.203281632109058137e+02,3.203281632109058137e+02,3.203281632109058137e+02,3.203281632109058137e+02,3.284003105699985099e+02
3.206942295848962203e+02,3.206942295848962203e+02,3.206942295848962203e+02,3.206942295848962203e+02,3.287654341056135081e+02
3.209980833107603644e+02,3.209980833107603644e+02,3.209980833107603644e+02,3.209980833107603644e+02,3.291526957228019796e+02
3.213699092600840572e+02,3.213699092600840572e+02,3.213699092600840572e+02,3.213699092600840572e+02,3.295460963272181516e+02
3.217057494325388802e+02,3.217057494325388802e+02,3.217057494325388802e+02,3.217057494325388802e+02,3.300002299766331362e+02
3.219803272775145047e+02,3.219803272775145047e+02,3.219803272775145047e+02,3.219803272775145047e+02,3.303353963889384204e+02
3.222796406820259563e+02,3.222796406820259563e+02,3.222796406820259563e+02,3.222796406820259563e+02,3.306382755303294516e+02
3.224587277591618317e+02,3.224587277591618317e+02,3.224587277591618317e+02,3.224587277591618317e+02,3.308782781849096182e+02
3.227478873954712526e+02,3.227478873954712526e+02,3.227478873954712526e+02,3.227478873954712526e+02,3.311561653746964566e+02
3.229344728233644446e+02,3.229344728233644446e+02,3.229344728233644446e+02,3.229344728233644446e+02,3.313486234434361108e+02
3.232473646575094790e+02,3.232473646575094790e+02,3.232473646575094790e+02,3.232473646575094790e+02,3.316939822645314848e+02
3.234075975397872185e+02,3.234075975397872185e+02,3.234075975397872185e+02,3.234075975397872185e+02,3.319081846022006062e+02
3.236515899460867445e+02,3.236515899460867445e+02,3.236515899460867445e+02,3.236515899460867445e+02,3.322285056409945128e+02
3.238194588554370057e+02,3.238194588554370057e+02,3.238194588554370057e+02,3.238194588554370057e+02,3.324641812011806792e+02
3.240706510168982390e+02,3.240706510168982390e+02,3.240706510168982390e+02,3.240706510168982390e+02,3.327370725209100897e+02
