Natural_convection_vertical_09_02V_1_01A,Natural_convection_vertical_15V_1_64A,Natural_convection_vertical_20_4V_2_28A,Natural_convection_vertical_25V_2_62A,Natural_convection_vertical_28_7V_2_99A
2.961990873109700715e+02,3.009423272213749101e+02,3.057559445636613873e+02,3.121510497705896796e+02,3.157411479944728399e+02
2.967427567302299281e+02,3.018300813048986129e+02,3.072162334916744157e+02,3.142510513437854343e+02,3.182599870999672476e+02
2.972234953439460696e+02,3.026295257850603662e+02,3.084771346916527364e+02,3.161356452404887705e+02,3.205984100121454503e+02
2.976507570079291440e+02,3.033876429627860034e+02,3.096557205867915741e+02,3.177475286972592130e+02,3.225230367980033748e+02
2.979104037888932339e+02,3.040031337246781504e+02,3.103964374587912971e+02,3.188501418141657382e+02,3.239249929694790353e+02
2.981075493007468253e+02,3.043720108342396315e+02,3.109598627884490725e+02,3.195463473969206234e+02,3.247744927732666156e+02
2.982834367377252534e+02,3.046186852991762635e+02,3.113879834338488877e+02,3.200688607172426714e+02,3.254102761464829427e+02
2.983374736010813990e+02,3.047686709837191188e+02,3.115793908915533166e+02,3.203166856388075985e+02,3.257383446945696051e+02
2.984385834730000511e+02,3.048585192193377793e+02,3.117158512911532853e+02,3.205638607995146003e+02,3.260327610335002646e+02
2.985863207217869331e+02,3.050019520217680906e+02,3.119392058585863197e+02,3.207759193070688752e+02,3.262563958618534343e+02
2.985729564162863312e+02,3.051033563658999128e+02,3.119880935623094160e+02,3.208596016617549367e+02,3.263494126702473750e+02
2.985662091183543225e+02,3.050794905917735491e+02,3.120153096058213009e+02,3.208890970176487940e+02,3.263587624444644462e+02
2.986065505636813100e+02,3.051212217713269865e+02,3.121401411119950353e+02,3.210365295441446278e+02,3.265955627679056761e+02
2.986399926340528168e+02,3.051807759279543006e+02,3.121510497705896796e+02,3.211004297280908872e+02,3.265769951956402224e+02
2.986735370398100144e+02,3.051332047156145677e+02,3.121781093932897875e+02,3.211249165085953337e+02,3.266094641602201136e+02
2.987269789999541558e+02,3.052582179280269656e+02,3.122973546225137511e+02,3.212181505859425670e+02,3.267531144802383096e+02
2.986467289195066428e+02,3.052402765865656420e+02,3.122648875441719269e+02,3.212279153338052424e+02,3.267531144802383096e+02
2.986735370398100144e+02,3.052344079261990260e+02,3.122702311000277859e+02,3.212230795839824395e+02,3.267716489563775895e+02
2.986868716747538883e+02,3.053294841257098824e+02,3.123622507732019926e+02,3.213259722145907631e+02,3.268826950984494033e+02
2.987269789999541558e+02,3.052582179280269656e+02,3.123243666078302567e+02,3.213357259045128558e+02,3.268133607628624873e+02
2.987269789999541558e+02,3.053116747268506970e+02,3.124379674405708442e+02,3.214042522363874923e+02,3.269936165773601715e+02
2.987203814886630653e+02,3.052938605650753630e+02,3.124001177073589588e+02,3.213846650523410631e+02,3.269520684871606022e+02
2.987804850904753948e+02,3.053710584460254722e+02,3.124596027945559058e+02,3.214335790674509781e+02,3.270398774441233627e+02
2.987604593437300764e+02,3.053829964187777364e+02,3.125082874585086188e+02,3.215265114786990353e+02,3.271090531218826527e+02
2.987604593437300764e+02,3.053888520029319125e+02,3.125244752262454995e+02,3.215998103780927408e+02,3.272474343395862775e+02
2.987804850904753948e+02,3.053472887678185543e+02,3.125946201358645453e+02,3.216339849249909548e+02,3.272519796169387405e+02
2.987604593437300764e+02,3.054245374563907376e+02,3.125838718134859278e+02,3.216876762999476114e+02,3.272934893183508507e+02
2.988272200005907848e+02,3.054007867974867168e+02,3.125784459453823843e+02,3.216632412107677510e+02,3.273119227824558948e+02
2.988406364088718306e+02,3.055252996591021883e+02,3.126809660929407073e+02,3.217656601606241225e+02,3.273257237928470431e+02
2.989072807514142482e+02,3.055548473827763587e+02,3.127455650709285351e+02,3.218484772199137751e+02,3.274774953000691653e+02
2.988539223879139399e+02,3.055193436025306823e+02,3.126755465118949928e+02,3.217997754291336037e+02,3.274453101989796551e+02
2.988205103265558478e+02,3.055015846774222723e+02,3.127294199881542909e+02,3.218192776058828031e+02,3.274591798580676141e+02
2.988005020778368248e+02,3.055075423085520470e+02,3.127132717990891138e+02,3.218484772199137751e+02,3.274683380023554946e+02
2.988606271871847184e+02,3.055490062766390338e+02,3.127617070496929728e+02,3.218484772199137751e+02,3.274729603631922146e+02
2.988873102055865161e+02,3.054838210543490504e+02,3.127078543053380031e+02,3.217948761528820114e+02,3.274269888044289587e+02
2.989072807514142482e+02,3.054838210543490504e+02,3.127725347398632039e+02,3.218728650006668204e+02,3.275602214576811093e+02
2.989072807514142482e+02,3.055904447075974417e+02,3.127832589063278874e+02,3.219410069710496032e+02,3.276291217211140747e+02
2.987939151743283901e+02,3.055430523196764057e+02,3.127778459267245807e+02,3.219458064729016087e+02,3.275786053530136996e+02
2.988606271871847184e+02,3.055430523196764057e+02,3.127778459267245807e+02,3.219264223924566295e+02,3.275556903056149167e+02
2.988539223879139399e+02,3.055015846774222723e+02,3.127132717990891138e+02,3.218289809984482872e+02,3.274958945487038022e+02
2.988472166115375330e+02,3.055252996591021883e+02,3.127294199881542909e+02,3.219020482623642465e+02,3.275464530847359015e+02
2.988873102055865161e+02,3.055785435947321957e+02,3.128102164803892151e+02,3.219847473784121803e+02,3.276245066388828491e+02
2.988539223879139399e+02,3.055962822210903482e+02,3.127940838196047366e+02,3.219506980252318726e+02,3.276107471940249525e+02
2.988606271871847184e+02,3.055430523196764057e+02,3.127832589063278874e+02,3.219312226257172256e+02,3.276291217211140747e+02
2.988873102055865161e+02,3.055844944139122390e+02,3.128048052367178684e+02,3.219264223924566295e+02,3.276107471940249525e+02
2.988806092886641750e+02,3.055844944139122390e+02,3.128478813403412460e+02,3.219945262549452991e+02,3.275832225728968865e+02
2.988672045319282802e+02,3.055490062766390338e+02,3.128155252866710043e+02,3.219166365558561438e+02,3.276016022026340693e+02
2.988739073977008047e+02,3.055548473827763587e+02,3.128155252866710043e+02,3.219312226257172256e+02,3.276061312562084709e+02
2.989272426678653574e+02,3.056022314743600532e+02,3.127993936447152805e+02,3.219945262549452991e+02,3.276291217211140747e+02
2.989138514477548938e+02,3.056732452597958059e+02,3.129070495092064448e+02,3.221111500147080733e+02,3.277300772989148641e+02
2.988873102055865161e+02,3.056613587383501454e+02,3.129284622222583039e+02,3.221111500147080733e+02,3.277346004875743120e+02
2.989738290897577144e+02,3.056790756197494261e+02,3.129392684784808694e+02,3.220917072174165696e+02,3.277529520788459649e+02
2.988472166115375330e+02,3.055844944139122390e+02,3.128370633508802143e+02,3.219896369415143340e+02,3.276291217211140747e+02
2.988406364088718306e+02,3.055608002962375735e+02,3.127455650709285351e+02,3.218679694677651923e+02,3.274453101989796551e+02
