h1,h2,h3,h4,h5
4.627925315444552545e+00,1.245353563635267236e+01,1.803543950161580867e+01,2.405513974846821412e+01,2.065712989612625350e+01
3.663062569852459482e+00,1.053078530645384348e+01,1.542944068500867694e+01,2.071230432854820691e+01,1.859903834262473765e+01
2.982943556608432356e+00,9.180576092482269246e+00,1.360126503415451538e+01,1.836867467713439694e+01,1.705579916016202091e+01
2.471012009655847663e+00,8.168043818542539469e+00,1.223166091299318481e+01,1.661399307367525680e+01,1.582802917086462635e+01
2.097299999086425615e+00,7.431497790130650039e+00,1.123631020052583196e+01,1.533953927055985567e+01,1.496935884286817853e+01
1.797709584568354169e+00,6.842963309046468545e+00,1.044167575587701080e+01,1.432264015932171830e+01,1.422486488986605302e+01
1.570737482862847312e+00,6.398414800780351186e+00,9.841932887686542841e+00,1.355553082454616565e+01,1.364682332808310861e+01
1.377989079031171515e+00,6.021918866923611446e+00,9.334372282063673865e+00,1.290662596505786297e+01,1.306149196759164077e+01
1.221328404871049766e+00,5.716680746705075755e+00,8.923155843677596621e+00,1.238111918354992724e+01,1.265771003575314602e+01
1.096774840949732654e+00,5.474536381269326846e+00,8.597135521916868584e+00,1.196464439908579180e+01,1.234412823609108933e+01
9.806229954106103763e-01,5.249187035000687729e+00,8.293897049253748932e+00,1.157740784893842800e+01,1.196155623185353889e+01
9.070710760413007723e-01,5.106731385566540382e+00,8.102293284668460771e+00,1.133280121507249483e+01,1.178786995164379015e+01
8.052993143357004557e-01,4.909950122959188867e+00,7.837743007431885900e+00,1.099516670637303406e+01,1.151426720108739588e+01
7.266731635393949285e-01,4.758198416587354096e+00,7.633831813866317262e+00,1.073500508544167253e+01,1.127721227219917211e+01
6.628588244189725920e-01,4.635219859706218415e+00,7.468652206554462047e+00,1.052431454139080813e+01,1.110933945237813525e+01
6.111583392239177126e-01,4.535713103983880501e+00,7.335045873253225324e+00,1.035393415383781424e+01,1.093514318455559575e+01
5.493942148632871003e-01,4.416991271995721391e+00,7.175696865195078544e+00,1.015077152452772324e+01,1.076211063751386554e+01
4.949726606196301337e-01,4.312527068587606038e+00,7.035537905040287754e+00,9.972118218861812267e+00,1.056710676493619694e+01
4.514047662395125338e-01,4.228997192363838309e+00,6.923503678130838779e+00,9.829344005918784433e+00,1.042633422528262521e+01
4.048286311579405994e-01,4.139801405419208713e+00,6.803907859787384993e+00,9.676963839988363958e+00,1.030134934866466878e+01
3.774051068033366652e-01,4.087334181366289343e+00,6.733577297488114510e+00,9.587368893305772133e+00,1.020377450083301518e+01
3.338081249893111724e-01,4.004002174132669900e+00,6.621902824570589985e+00,9.445129016219329543e+00,1.009237651430969862e+01
3.061126050698226853e-01,3.951115629485202341e+00,6.551047856690577653e+00,9.354896337010103480e+00,1.001619827326357637e+01
2.604147940371589476e-01,3.863941418951029938e+00,6.434289081477007066e+00,9.206232639103063775e+00,9.881451001686665236e+00
2.373658876028824638e-01,3.820015664603846339e+00,6.375472148898239766e+00,9.131356592745138556e+00,9.799109717674891584e+00
2.027159458815945003e-01,3.754036349118984539e+00,6.287146007372228063e+00,9.018930932939454692e+00,9.677694426656922033e+00
1.791837130040556114e-01,3.709265506480028396e+00,6.227225946581770977e+00,8.942673480024829757e+00,9.589651205376384269e+00
1.444277671668662277e-01,3.643199232525413667e+00,6.138826431592349309e+00,8.830189097252773678e+00,9.489038301822505517e+00
1.193435740107171295e-01,3.595561390827169301e+00,6.075101372052889914e+00,8.749115077296316656e+00,9.406500844540715889e+00
1.001887041009835028e-01,3.559209145346028613e+00,6.026482467073263294e+00,8.687267421877146845e+00,9.368381857897013276e+00
7.568951618585142982e-02,3.512746565115669739e+00,5.964353690925749518e+00,8.608243728564072939e+00,9.292891243795670775e+00
6.356033553410257719e-02,3.489757148832531630e+00,5.933617812863578145e+00,8.569153823093142108e+00,9.258176214142642024e+00
4.279573594915934281e-02,3.450421345937964013e+00,5.881035417398509324e+00,8.502285886620668975e+00,9.192002653828234671e+00
