Natural_convection_horizontal_09_02V_1_01A,Natural_convection_horizontal_15V_1_64A,Natural_convection_horizontal_20_4V_2_28A,Natural_convection_horizontal_25V_2_62A,Natural_convection_horizontal_28_7V_2_99A
2.942838285563549903e+02,2.961279173801153206e+02,2.980056722640234739e+02,3.002277008694092046e+02,3.016978305946958585e+02
2.946654129954381460e+02,2.968897007005942896e+02,2.991199766293777316e+02,3.018489316838902710e+02,3.036991597132928860e+02
2.950866421798664305e+02,2.977397323544231540e+02,3.004992282755119959e+02,3.036991597132928860e+02,3.059268509310175546e+02
2.954590813193852341e+02,2.984856726189183860e+02,3.016789290537295187e+02,3.055193436025306823e+02,3.081126223754681632e+02
2.958776547010987770e+02,2.992655449766613742e+02,3.028894751210200980e+02,3.072566913628362499e+02,3.100964916845347261e+02
2.963056530564537070e+02,3.000263695188714905e+02,3.040759095389537379e+02,3.089360578228366876e+02,3.119880935623094160e+02
2.966586145899959206e+02,3.007051672972663141e+02,3.050854861242596598e+02,3.103632013473522306e+02,3.138426190963523368e+02
2.969525839183258427e+02,3.012737408800463186e+02,3.060034408569537732e+02,3.115302591389764189e+02,3.152715976559359206e+02
2.971958948357290069e+02,3.016599013798542046e+02,3.066474005314976239e+02,3.125406598584056042e+02,3.164923026999285867e+02
2.973549310316545871e+02,3.020559887356514537e+02,3.072335597055190419e+02,3.133894553466867592e+02,3.174825730700886766e+02
2.975683676439750229e+02,3.023684167612102556e+02,3.077519681144624428e+02,3.141133122283180228e+02,3.183156424694150246e+02
2.976644078025587987e+02,3.026481149335260739e+02,3.081297370149995345e+02,3.146838395196928673e+02,3.190008083933411172e+02
2.977533543061533123e+02,3.028462296453869840e+02,3.084998779429932938e+02,3.152192930770206090e+02,3.196112653431574699e+02
2.978422433237280984e+02,3.029943522827107358e+02,3.087834287506615283e+02,3.155536266633042715e+02,3.200589755593083510e+02
2.979512221360179183e+02,3.031728983770357218e+02,3.089981799841268071e+02,3.159489543320124199e+02,3.205539337580272559e+02
2.980125059217631929e+02,3.033631225653938941e+02,3.092348514285646957e+02,3.162650571691664254e+02,3.209038412551117858e+02
2.981549930497784544e+02,3.035099813654958893e+02,3.095381208259356640e+02,3.166675131834541617e+02,3.213945055629410490e+02
2.981075493007468253e+02,3.035527536783017695e+02,3.096165404723276424e+02,3.168527169694793884e+02,3.216290771381922013e+02
2.982293335168278645e+02,3.036808924043241973e+02,3.098178585493548667e+02,3.171195114483941779e+02,3.219896369415143340e+02
2.982293335168278645e+02,3.037844129341376060e+02,3.099517472649577030e+02,3.173140746753507528e+02,3.222082128561590935e+02
2.982563934496749312e+02,3.038392227276707445e+02,3.100910026023829005e+02,3.174877035530315084e+02,3.224553072065116339e+02
2.983239065769417380e+02,3.040213068271773409e+02,3.102687810086520699e+02,3.177425093188776941e+02,3.227404951434812119e+02
2.984048631462522962e+02,3.040455677770800094e+02,3.104296596485734767e+02,3.179609835645177327e+02,3.229958144668742648e+02
2.984182776983728900e+02,3.041364344827482000e+02,3.104684363267808749e+02,3.180168201367562233e+02,3.230968231142744003e+02
2.984318159095491296e+02,3.041666178444816069e+02,3.105790927802154897e+02,3.181993036236530088e+02,3.233033474617300271e+02
2.983442555531050857e+02,3.041606511741687200e+02,3.105790927802154897e+02,3.182296503616034897e+02,3.233704844303796904e+02
2.984318159095491296e+02,3.043358602681677780e+02,3.107779720854850325e+02,3.185328565820264544e+02,3.236768308921731432e+02
2.984519878782170963e+02,3.043720108342396315e+02,3.107945056245949900e+02,3.186134990677144856e+02,3.238057442972813078e+02
2.984923045022202359e+02,3.044020825793689937e+02,3.109598627884490725e+02,3.187495613380983741e+02,3.239345771735813742e+02
2.985460885282478785e+02,3.044442506820672065e+02,3.109873196955420553e+02,3.188300153660172782e+02,3.240916776031330073e+02
2.985863207217869331e+02,3.045525721440043299e+02,3.111138346649818232e+02,3.189958567681500767e+02,3.242818638772852751e+02
2.986332553463313388e+02,3.045405961312827685e+02,3.111632186963699951e+02,3.190811402191297361e+02,3.243815429263205488e+02
2.986266442023838863e+02,3.046366837066973403e+02,3.112236054420071696e+02,3.191613076732377294e+02,3.245284892944299600e+02
2.985797027038424858e+02,3.045826734306521075e+02,3.113003773798357088e+02,3.192465346771618329e+02,3.245474484896830631e+02
2.985998082904372382e+02,3.046907627080017278e+02,3.113989924646813279e+02,3.194065166820643071e+02,3.247697419189083803e+02
2.986199049266448355e+02,3.046727793373983104e+02,3.114044964217021061e+02,3.194665103631726311e+02,3.248217198367718765e+02
2.987003293383977507e+02,3.047446829187256299e+02,3.115903741209302780e+02,3.196510833660742605e+02,3.250010106519684996e+02
2.987069297555108847e+02,3.048166205996693634e+02,3.116613151189847599e+02,3.197557022908392810e+02,3.251423853862927444e+02
2.987069297555108847e+02,3.048464860552741698e+02,3.116613151189847599e+02,3.198253834105323108e+02,3.252035368289396615e+02
2.986399926340528168e+02,3.047926502053658737e+02,3.116668014232081418e+02,3.198452962761253957e+02,3.252035368289396615e+02
2.987737685705065473e+02,3.049243218637818131e+02,3.118575585931694150e+02,3.200788389656146364e+02,3.254901270958152395e+02
2.987537398808252078e+02,3.049541381767054418e+02,3.119119646925604457e+02,3.201829825751921703e+02,3.255603991186831081e+02
2.987804850904753948e+02,3.049840542331069173e+02,3.119337377103407221e+02,3.202423878239599730e+02,3.256587843349568061e+02
2.986936010045064904e+02,3.050019520217680906e+02,3.118956569588455068e+02,3.202870111100052100e+02,3.257009700071768634e+02
2.988139262967721379e+02,3.050914811118464058e+02,3.120641522846594285e+02,3.204353842395376546e+02,3.259253595675313022e+02
2.988005020778368248e+02,3.050437323204171776e+02,3.120043830297707927e+02,3.204155958750091600e+02,3.258599581249502535e+02
2.988072146785586938e+02,3.050914811118464058e+02,3.120749679621257542e+02,3.205588974091160708e+02,3.260420524334790002e+02
2.988205103265558478e+02,3.050138434263575391e+02,3.120315937065446406e+02,3.205736931617730647e+02,3.260140870904747317e+02
2.987804850904753948e+02,3.051569380990121090e+02,3.121130690828864545e+02,3.206279868392111325e+02,3.261259892218370737e+02
2.987939151743283901e+02,3.051212217713269865e+02,3.121076124310737328e+02,3.207217104788965685e+02,3.261912141284254858e+02
2.988272200005907848e+02,3.051569380990121090e+02,3.121890130560470880e+02,3.207759193070688752e+02,3.262610752751591008e+02
2.988406364088718306e+02,3.051450724719560412e+02,3.121890130560470880e+02,3.207807778933596410e+02,3.262703451546101974e+02
2.988472166115375330e+02,3.051689145741311222e+02,3.122052630248857099e+02,3.208694033519511208e+02,3.263819566395165452e+02
