Natural_convection_horizontal_09_02V_1_01A,Natural_convection_horizontal_15V_1_64A,Natural_convection_horizontal_20_4V_2_28A,Natural_convection_horizontal_25V_2_62A,Natural_convection_horizontal_28_7V_2_99A
2.110948123095489137e+01,1.980077394526287193e+01,2.154327971607459702e+01,2.379351338597669852e+01,2.528446357878141626e+01
1.634452290585755563e+01,1.562938850145053316e+01,1.726259351767046368e+01,1.901933223221279334e+01,2.010522771806785158e+01
1.288964865815088423e+01,1.247434115980144398e+01,1.366249428661137344e+01,1.528944952092065357e+01,1.617955342875327673e+01
1.072830129301912905e+01,1.047301174925602218e+01,1.146070587582304334e+01,1.266687735693673389e+01,1.342462285529688160e+01
8.912036926172337559e+00,8.867950366610017454e+00,9.729676092926784037e+00,1.077097134633289954e+01,1.151774549386407287e+01
7.495578715713112850e+00,7.631265623036822987e+00,8.388377142441617806e+00,9.319667431109042610e+00,1.005978048672057845e+01
6.559829822274460653e+00,6.725758036468841183e+00,7.447468895150397117e+00,8.299900111162191507e+00,8.878967580289986117e+00
5.899791017488673184e+00,6.077042150471047677e+00,6.714324188180074593e+00,7.578610115891939003e+00,8.098377588710771846e+00
5.419085236788324877e+00,5.683042845953453437e+00,6.256697191401446645e+00,7.021068073682644517e+00,7.503743481183283492e+00
5.132130416250115346e+00,5.312385647734251037e+00,5.874752124264245090e+00,6.593658818709251079e+00,7.063019987296455859e+00
4.776548354822408804e+00,5.041206774515632816e+00,5.561230975456842529e+00,6.255131165268188909e+00,6.717714196791610526e+00
4.626534439606952986e+00,4.812707150757121966e+00,5.345734085119416612e+00,6.003509401167673509e+00,6.449477200058598925e+00
4.492689406915308936e+00,4.658375210704396530e+00,5.144339806339888632e+00,5.778549634861405160e+00,6.221521227781702024e+00
4.363556694261721880e+00,4.546811361043280542e+00,4.996167949200644109e+00,5.643234917389612804e+00,6.060523630636570402e+00
4.211200852034266973e+00,4.416462975520228262e+00,4.887285876202710710e+00,5.488062175964897982e+00,5.888286424088520654e+00
4.128267107498208688e+00,4.282314108357383908e+00,4.770473803481743325e+00,5.367582836847431871e+00,5.770000415988399745e+00
3.942633836550005100e+00,4.181921782194957693e+00,4.625451676627013065e+00,5.218599678455896118e+00,5.608754347918639027e+00
4.003359723377231560e+00,4.153184582790517609e+00,4.588772317938397016e+00,5.151636931935603236e+00,5.533503066897845990e+00
3.849571979925610954e+00,4.068408350557888298e+00,4.496100562518922317e+00,5.056881228876822121e+00,5.420063357534309567e+00
3.849571979925610954e+00,4.001324254711829731e+00,4.435627932685364705e+00,4.989016672565957933e+00,5.352573244468327829e+00
3.816313948948036217e+00,3.966301239405211287e+00,4.373687331604497075e+00,4.929312586877141023e+00,5.277407120281137232e+00
3.734727954461765087e+00,3.852338045115577536e+00,4.295991685250677428e+00,4.843124316333385693e+00,5.192105824959088345e+00
3.639433660698478068e+00,3.837424179335158225e+00,4.226979704043327679e+00,4.770544188830870169e+00,5.117024709615574984e+00
3.623902951151327656e+00,3.782116707968580460e+00,4.210526193449972254e+00,4.752185794301555966e+00,5.087649712402403601e+00
3.608302483568482710e+00,3.763935032548448856e+00,4.163951826358109898e+00,4.692720746518848962e+00,5.028157716824333434e+00
3.710518830360765907e+00,3.767521765646585141e+00,4.163951826358109898e+00,4.682910164243854645e+00,5.008980546499857134e+00
3.608302483568482710e+00,3.663698100333034446e+00,4.081628070283342957e+00,4.586091292178965162e+00,4.922467869730434487e+00
3.585193418172932578e+00,3.642655891929914791e+00,4.074862762666360716e+00,4.560702927832112508e+00,4.886541556419621735e+00
3.539486861124993222e+00,3.625248858542234220e+00,4.007850292377963086e+00,4.518205003013086696e+00,4.850916015973998796e+00
3.479489538588595554e+00,3.600986648213425401e+00,3.996836146916628252e+00,4.493273279218373162e+00,4.807845295592112933e+00
3.435323030078079487e+00,3.539435411170014145e+00,3.946494143919610398e+00,4.442337213596221801e+00,4.756241719995069062e+00
3.384551818526705169e+00,3.546186401513844899e+00,3.927023761874610663e+00,4.416379652696539537e+00,4.729427627764156483e+00
3.391654974543098611e+00,3.492393810874448334e+00,3.903351135264079730e+00,4.392123655575671748e+00,4.690185399316071369e+00
3.442546895459229539e+00,3.522525736239676242e+00,3.873468688313270292e+00,4.366488830488937545e+00,4.685147018777604977e+00
3.420650658030159885e+00,3.462489153402956710e+00,3.835430252656923500e+00,4.318786875022876615e+00,4.626488814071299416e+00
3.398912041009673146e+00,3.472404342202635608e+00,3.833318589578611491e+00,4.301037487797993109e+00,4.612882579830029250e+00
3.313366264195932054e+00,3.432933336079968534e+00,3.762698440164151226e+00,4.246898958886973219e+00,4.566263873529091910e+00
3.306446684131923774e+00,3.393901211876608759e+00,3.736096555887751247e+00,4.216522101066101591e+00,4.529843514789756220e+00
3.306446684131923774e+00,3.377829262154107504e+00,3.736096555887751247e+00,4.196412367362717610e+00,4.514181594474975689e+00
3.377329311203304929e+00,3.406856786794106640e+00,3.734047224989504699e+00,4.190683473512476276e+00,4.514181594474975689e+00
3.237218155845303258e+00,3.336302297733841904e+00,3.663493003417430671e+00,4.124080244049431521e+00,4.441507439874685659e+00
3.257803494877006045e+00,3.320530982723659541e+00,3.643616433073592287e+00,4.094723821456120127e+00,4.423868176123579410e+00
3.230345143263364971e+00,3.304781927761992755e+00,3.635692140072674938e+00,4.078072068433807651e+00,4.399289855161431007e+00
