Natural_convection_vertical_09_02V_1_01A,Natural_convection_vertical_15V_1_64A,Natural_convection_vertical_20_4V_2_28A,Natural_convection_vertical_25V_2_62A,Natural_convection_vertical_28_7V_2_99A
7.815533783041052729e+00,6.444366618709273631e+00,6.901999322793201053e+00,7.229377236917548188e+00,7.862428165001930758e+00
6.361044565099126302e+00,5.519890555773700136e+00,5.885608659018135569e+00,6.193206006879842462e+00,6.740108525057861399e+00
5.367833263369298891e+00,4.827499622633860454e+00,5.156448984239919930e+00,5.416530133382258860e+00,5.873094631286584821e+00
4.647501756323725530e+00,4.265363534019786407e+00,4.570569701845751176e+00,4.841443285714652767e+00,5.257009352535968461e+00
4.267520353195678240e+00,3.863550626632252349e+00,4.241131724327908081e+00,4.487059072166133866e+00,4.853556787084923663e+00
4.003359723377231560e+00,3.642655891929914791e+00,4.007850292377963086e+00,4.277533600345533316e+00,4.625243473182823806e+00
3.783397474910362046e+00,3.502405355816899934e+00,3.839657593414757653e+00,4.126903998191168377e+00,4.461636863692423738e+00
3.718567951733307453e+00,3.419867372863733657e+00,3.766834151608850600e+00,4.057340726315956658e+00,4.379514010641781141e+00
3.600531508949568860e+00,3.371375442213467633e+00,3.715775768281677216e+00,3.989120132520865170e+00,4.307097044549422549e+00
3.435323030078079487e+00,3.295395486673593499e+00,3.633704707309017845e+00,3.931491906267245096e+00,4.252879900269168623e+00
3.449927446043206558e+00,3.242712846836957041e+00,3.615984150728179358e+00,3.908975019218706493e+00,4.230526405253602462e+00
3.457325997164864884e+00,3.255036171045821103e+00,3.606156266683222533e+00,3.901068442313851747e+00,4.228285841456014715e+00
3.413341108369728261e+00,3.233518063781779084e+00,3.561416574062278961e+00,3.861778947018672525e+00,4.171921842257864554e+00
3.377329311203304929e+00,3.203052539532639909e+00,3.557533031253989453e+00,3.844868939179745038e+00,4.176314952312695894e+00
3.341610219529548953e+00,3.227365227124022962e+00,3.547917632120743736e+00,3.838407850724815162e+00,4.168635675431029419e+00
