#Longshot inviscid contour determined from turbulent CFD using SST model. Valid for experiment at low Reynolds number at t=10ms.
#distance_from_throat(m)	radius(m)
-6.4900000e-02	3.8095185e-02
-6.4600965e-02	3.8094723e-02
-6.4304920e-02	3.8094221e-02
-6.4011836e-02	3.8093706e-02
-6.3721683e-02	3.8093207e-02
-6.3434431e-02	3.8092751e-02
-6.3150051e-02	3.8092366e-02
-6.2868516e-02	3.8092060e-02
-6.2589795e-02	3.8091865e-02
-6.2313861e-02	3.8091717e-02
-6.2040688e-02	3.8091644e-02
-6.1770246e-02	3.8091621e-02
-6.1502508e-02	3.8091659e-02
-6.1237448e-02	3.8091718e-02
-6.0975038e-02	3.8091812e-02
-6.0715252e-02	3.8091966e-02
-6.0458065e-02	3.8092134e-02
-6.0203449e-02	3.8092331e-02
-5.9951379e-02	3.8092565e-02
-5.9701830e-02	3.8092810e-02
-5.9454777e-02	3.8093121e-02
-5.9210194e-02	3.8093439e-02
-5.8968057e-02	3.8093741e-02
-5.8728341e-02	3.8094117e-02
-5.8491022e-02	3.8094495e-02
-5.8256077e-02	3.8094901e-02
-5.8023481e-02	3.8095275e-02
-5.7793211e-02	3.8095589e-02
-5.7565244e-02	3.8095907e-02
-5.7339556e-02	3.8096015e-02
-5.7116125e-02	3.8095987e-02
-5.6894929e-02	3.8095857e-02
-5.6675944e-02	3.8095558e-02
-5.6459150e-02	3.8095331e-02
-5.6244524e-02	3.8095017e-02
-5.6032044e-02	3.8094868e-02
-5.5821688e-02	3.8094821e-02
-5.5613436e-02	3.8094792e-02
-5.5407266e-02	3.8094849e-02
-5.5203158e-02	3.8094710e-02
-5.5001091e-02	3.8094175e-02
-5.4766425e-02	3.8092991e-02
-5.4522183e-02	3.8091186e-02
-5.4267975e-02	3.8088327e-02
-5.4003401e-02	3.8084536e-02
-5.3728052e-02	3.8079012e-02
-5.3441519e-02	3.8071185e-02
-5.3143398e-02	3.8060052e-02
-5.2833298e-02	3.8044678e-02
-5.2510857e-02	3.8023415e-02
-5.2175753e-02	3.7995093e-02
-5.1827722e-02	3.7957951e-02
-5.1466574e-02	3.7910028e-02
-5.1092213e-02	3.7849438e-02
-5.0704655e-02	3.7773944e-02
-5.0304034e-02	3.7681888e-02
-4.9890616e-02	3.7571043e-02
-4.9464791e-02	3.7439612e-02
-4.9027062e-02	3.7286110e-02
-4.8578029e-02	3.7109305e-02
-4.8118351e-02	3.6907024e-02
-4.7666950e-02	3.6688005e-02
-4.7241311e-02	3.6463268e-02
-4.6839923e-02	3.6234665e-02
-4.6461267e-02	3.6003784e-02
-4.6103858e-02	3.5771989e-02
-4.5766268e-02	3.5540409e-02
-4.5447151e-02	3.5310178e-02
